,Unnamed: 0,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
1491,1491,169,5,1,73,0,0,1,0,0,1,0,0,0
15915,15915,169,5,0,19,0,0,1,0,0,0,0,1,0
43962,43962,169,3,2,2,0,1,0,0,0,1,0,0,0
12558,12558,169,4,89,0,0,0,1,0,0,0,0,1,0
39437,39437,169,1,52,0,0,0,1,0,0,0,0,1,0
297,297,169,2,0,420,0,1,0,0,0,1,0,0,0
49006,49006,169,2,299,1,0,1,0,0,0,1,0,0,0
50047,50047,169,2,355,0,0,0,0,1,0,1,0,0,0
491,491,169,7,180,40,0,0,1,0,0,1,0,0,0
44011,44011,169,3,71,14,0,1,0,0,0,1,0,0,0
41895,41895,169,3,135,0,0,0,0,0,1,1,0,0,0
266,266,169,5,94,20,0,0,1,0,0,1,0,0,0
27308,27308,169,2,71,120,0,1,0,0,0,1,0,0,0
44399,44399,169,30,79,0,0,1,0,0,0,1,0,0,0
40688,40688,169,3,127,22,0,0,0,1,0,1,0,0,0
48386,48386,169,2,131,2,0,0,1,0,0,1,0,0,0
13221,13221,169,30,364,0,0,0,1,0,0,1,0,0,0
3208,3208,169,3,0,2,0,0,1,0,0,1,0,0,0
11181,11181,169,1,59,11,0,0,1,0,0,0,0,1,0
26185,26185,169,1,364,16,0,1,0,0,0,0,1,0,0
40305,40305,169,2,350,17,0,0,0,1,0,1,0,0,0
2395,2395,169,5,12,13,0,0,1,0,0,1,0,0,0
37384,37384,169,2,356,23,0,0,1,0,0,1,0,0,0
11467,11467,169,1,0,131,0,0,1,0,0,1,0,0,0
45783,45783,169,29,339,0,0,0,1,0,0,1,0,0,0
47748,47748,169,3,0,5,0,0,1,0,0,0,0,1,0
290,290,169,1,82,69,0,1,0,0,0,1,0,0,0
46646,46646,169,2,0,3,0,0,1,0,0,1,0,0,0
45188,45188,169,3,176,1,0,0,1,0,0,0,0,1,0
20412,20412,169,3,4,22,0,0,1,0,0,1,0,0,0
40986,40986,169,3,0,30,0,1,0,0,0,1,0,0,0
10797,10797,169,1,18,33,0,1,0,0,0,1,0,0,0
40832,40832,169,6,43,5,0,1,0,0,0,1,0,0,0
6829,6829,169,2,0,16,0,0,1,0,0,1,0,0,0
20099,20099,169,2,326,32,0,1,0,0,0,1,0,0,0
43075,43075,169,1,349,23,0,0,1,0,0,1,0,0,0
29383,29383,169,2,0,0,0,0,1,0,0,0,0,1,0
4361,4361,169,5,41,55,0,1,0,0,0,1,0,0,0
