,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6398,6398,4885595,1 bd apt in Astoria,25134822,Irena,Queens,Astoria,40.77029,-73.92493,Entire home/apt,99,1,41,2019-11-20,0.73,2,275
30567,30577,26220343,Stylish & Cozy Private Studio Apartment (UES),2747221,Judah,Manhattan,Upper East Side,40.76321,-73.9583,Entire home/apt,99,2,12,2019-09-02,0.72,1,0
909,909,387666,Historic townhouse in convenient location,1939728,Michael & Aleksandra,Manhattan,Washington Heights,40.83434000000001,-73.94027,Private room,99,3,8,2019-10-07,0.54,1,147
37628,37638,32469620,Cute room with private rooftop near Central Park,39079982,Mansi,Manhattan,East Harlem,40.7908,-73.94491,Private room,99,1,6,2019-04-25,0.67,1,0
1206,1206,555206,Spacious Room & Chill Vibes in Alphabet City!,1925503,Evan,Manhattan,East Village,40.72718,-73.9812,Private room,99,6,80,2019-05-26,0.95,1,0
24396,24404,20960324,Spacious 1 bedroom in Prime Williamsburg,17921511,Amit,Brooklyn,Williamsburg,40.71168,-73.96338,Entire home/apt,99,3,2,2017-09-25,0.07,1,0
1095,1095,501693,Room w/pvt bathroom on Central Park,1490833,Patrick,Manhattan,Upper West Side,40.7952,-73.9624,Private room,99,1,305,2019-11-18,3.6,1,0
16211,16211,13669161,Comfortable-Private one room in LES,17605950,Denis,Manhattan,Lower East Side,40.71881,-73.98881999999998,Private room,99,2,48,2018-02-03,1.15,1,0
957,957,422040,Gorgeous ! Best Location in NYC !,1090764,Lynda,Manhattan,Upper West Side,40.77995,-73.98342,Private room,99,30,27,2017-08-11,0.29,1,339
960,960,424667,Luxury room + En-suite bath in Times Sq/Midtown W,2111060,Jj,Manhattan,Theater District,40.75962,-73.9842,Private room,99,5,135,2019-10-08,1.47,2,358
30491,30501,26132476,Sunny Private Room Near Times Square NYC! - 53E3,190921808,John,Manhattan,Hell's Kitchen,40.75544,-73.99721,Private room,99,1,7,2019-08-24,0.5,48,349
33122,33132,28760070,Great one bedroom studio,7365834,Alex,Brooklyn,Sheepshead Bay,40.58296,-73.95879000000002,Entire home/apt,99,45,2,2019-10-15,0.14,4,196
12708,12708,10134285,"Cute bedroom in Chinatown,",566660,Markus,Manhattan,Chinatown,40.71615,-73.99539,Private room,99,1,42,2018-01-01,0.88,1,0
28949,28959,24356663,Modern Clean beautiful 15min to center of NYC,138607228,Edward,Brooklyn,Bushwick,40.6941,-73.90756,Entire home/apt,99,2,51,2019-04-14,2.58,3,32
40488,40498,34813770,AMAZING ONE MONTH SUBLET IN WILLIAMSBURG!!!,259826953,Yaron,Brooklyn,Williamsburg,40.71771,-73.95831,Private room,99,3,2,2019-06-09,0.32,2,179
1073,1073,490278,Lovely 1BR - Midtown East by metro!,2424873,A.B.,Manhattan,Midtown,40.75632,-73.96464,Entire home/apt,99,14,30,2018-03-02,0.33,1,346
6619,6619,5105989,large private bedroom in gramercy!,21938150,Niraj,Manhattan,Gramercy,40.73729,-73.98297,Private room,99,1,138,2019-12-05,2.33,1,86
16291,16291,13714244,Cozy Little Italy Apartment,80107649,Haley,Manhattan,Lower East Side,40.7188,-73.99458,Private room,99,3,10,2017-01-01,0.24,1,0
37816,37826,32635569,Big Sunny Bedroom in W.burg with 1k sq ft Garden,3002665,Zoe,Brooklyn,Williamsburg,40.7146,-73.94167,Shared room,99,1,4,2019-11-11,0.58,2,365
