,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32444,32454,28082234,Cozy room In Bedstuy,33432369,Lydia,Brooklyn,Bedford-Stuyvesant,40.69311,-73.93474,Private room,90,2,1,2018-09-03,0.07,1,158
15260,15260,13101855,Garden level studio w/backyard,45197707,Claudine,Brooklyn,Flatlands,40.61529,-73.92567,Entire home/apt,90,2,141,2019-11-10,3.29,1,327
42131,42141,36019067,Cozy Sunlit Brooklyn Apt (GREEN ROOM),119051571,Sou,Brooklyn,Bedford-Stuyvesant,40.69346,-73.96064,Private room,90,1,6,2019-09-09,1.13,2,357
16178,16178,13654534,"Brooklyn Loft, Rooftop views, Street Parking....",4703687,Daphne,Brooklyn,Greenpoint,40.72341,-73.93616,Entire home/apt,90,4,0,,,2,0
33964,33974,29570523,MyLittlePlace,222626145,Niko,Queens,Kew Gardens Hills,40.72292,-73.81635,Entire home/apt,90,1,31,2019-11-24,2.42,1,81
22190,22191,19280212,Sunny Room in Williamsburg with Private Terrace,2526182,Margaux,Brooklyn,Williamsburg,40.71138,-73.95303,Private room,90,4,16,2019-08-18,0.55,1,2
2985,2985,1935826,"Priv room in 3 bdrm apt - Room ""C""",9207223,Ryan,Manhattan,Harlem,40.80688,-73.94932,Private room,90,3,1,2015-10-14,0.02,3,67
25807,25817,21823931,Quiet & Bright 1 Bedroom in Downtown Flushing,5962328,Alan,Queens,Flushing,40.75899,-73.82245,Entire home/apt,90,30,3,2019-06-30,0.2,14,327
34266,34276,29820510,Large bedroom with private  bathroom,224314859,Miki,Manhattan,Washington Heights,40.85358,-73.93526,Private room,90,3,3,2019-01-02,0.24,1,33
3002,3002,1945115,Beautiful Luxury Room in Central Harlem/Columbia,10061009,Minetta,Manhattan,Harlem,40.80419000000001,-73.95581999999997,Private room,90,4,74,2019-12-02,2.81,1,123
33048,33058,28690074,Central Park Cozy Private Room,214135354,Min,Manhattan,Upper East Side,40.77601,-73.95114000000002,Private room,90,1,102,2019-11-17,6.94,2,340
23737,23738,20467141,Private Bed and Bath by Morningside/Central Park!,22822259,Kellie,Manhattan,Harlem,40.80666,-73.95703,Private room,90,2,76,2019-11-25,2.77,1,139
16147,16147,13635848,Central Williamsburg Apt.,79078275,Jacqueline,Brooklyn,Williamsburg,40.72003,-73.95756,Private room,90,1,0,,,1,0
17567,17567,14858544,BEST AREA IN CHELSEA. MODERN. COMPACT. HIGH LINE!,93044932,Gina,Manhattan,Chelsea,40.75005,-73.99898,Entire home/apt,90,1,103,2019-11-19,2.61,1,0
1214,1214,564049,Lovely Manhattan Apartment,2773585,Mathilde,Manhattan,Upper West Side,40.80053,-73.96651,Entire home/apt,90,30,23,2017-02-15,0.26,1,0
25813,25823,21824864,The Great Room on the Upper East Side,27552154,Sylvia,Manhattan,Upper East Side,40.7627,-73.96225,Private room,90,3,1,2018-01-01,0.04,2,0
48801,48817,39896853,"Spacious, cozy, warm bedroom in Brooklyn!",307300969,Dawn,Brooklyn,East Flatbush,40.65309,-73.92707,Private room,90,1,1,2019-11-24,1.0,1,177
32230,32240,27875973,South Williamsburg Loft,4359156,Alexandra,Brooklyn,Williamsburg,40.70856,-73.96632,Private room,90,2,17,2019-11-12,3.05,1,49
42337,42347,36149911,"Wall Street,PRIVATE ROOM Super Clean ,FEMALE ONLY",87827436,Camelia,Manhattan,Financial District,40.704,-74.00646,Private room,90,20,0,,,3,0
1211,1211,560406,Charming old school 1BR in C. Gardens Brooklyn,2755668,Annie,Brooklyn,Carroll Gardens,40.68343,-73.99189,Entire home/apt,90,4,1,2012-07-11,0.01,1,0
26956,26966,22361286,"Large one bedroom apartment in Inwood, Manhattan!",2488360,Laura,Manhattan,Inwood,40.86232,-73.93004,Entire home/apt,90,3,18,2018-11-25,0.77,1,0
3073,3073,1992751,Bushwick House,10258336,Angelo,Brooklyn,Bushwick,40.70618,-73.91669,Entire home/apt,90,3,0,,,1,0
34288,34298,29828614,New York home ferry ride from Manhattan.,224370048,Pariis,Staten Island,Tompkinsville,40.63304,-74.09244,Private room,90,1,11,2019-11-03,0.97,1,252
3080,3080,2000156,Nice & cozy -  15min to Times Square-,3767367,Regina,Manhattan,Upper East Side,40.7838,-73.9482,Private room,90,3,104,2019-11-02,2.28,2,347
17581,17581,14871074,Spacious Artist's Apartment,7675569,Annika,Brooklyn,Bushwick,40.69983,-73.92981,Private room,90,2,5,2017-08-13,0.13,1,0
2471,2471,1421933,Room in Chelsea New York,7654246,Tamara,Manhattan,Chelsea,40.74036,-74.00138000000003,Private room,90,3,5,2016-07-25,0.1,1,0
22105,22106,19218475,Cozy Private Large Bed in Prime Chelsea,134510659,Josif,Manhattan,Chelsea,40.74319000000001,-73.99636,Private room,90,14,0,,,1,0
38827,38837,33558241,Our sanctuary,4770121,Somaya,Manhattan,Harlem,40.82457,-73.94008000000002,Entire home/apt,90,7,1,2019-04-26,0.13,4,0
22135,22136,19240100,"Light/Bright Artist's Studio in Red Hook, Brooklyn",29735603,Lisa,Brooklyn,Red Hook,40.6799,-74.01146999999997,Entire home/apt,90,7,8,2019-11-14,0.28,1,249
14986,14986,12911110,"Sunny studio on UWS, steps to park",5317451,Kelly,Manhattan,Upper West Side,40.78397,-73.97063,Entire home/apt,90,8,1,2016-06-19,0.02,1,0
48940,48956,39951628,Comfy - Inn East NY,26385529,Lloyd,Brooklyn,East New York,40.67349,-73.88095,Entire home/apt,90,2,1,2019-12-01,1.0,1,345
15062,15062,12973819,"Huge 1BR 5 min to Park, Train",71402091,Jeff,Brooklyn,Flatbush,40.65421,-73.95945,Entire home/apt,90,3,9,2019-09-30,0.21,1,22
49731,49747,40262991,NYC 2 Bedroom + 1 LR Apartment,180796358,Amir,Queens,Long Island City,40.75694,-73.93241,Entire home/apt,90,2,1,2019-11-24,1.0,1,60
22181,22182,19273509,Astoria home 2 living rooms/ 1 bedroom/1 bath,4969033,Bella,Queens,Astoria,40.76634,-73.90872,Entire home/apt,90,3,30,2018-08-29,1.03,1,0
23740,23741,20469589,Bedroom in Brownstone Apartment,18884528,Ann,Brooklyn,Park Slope,40.67257,-73.97775,Private room,90,1,0,,,2,0
2857,2857,1841356,Cozy spacious 1 bed in Murray Hill,9622750,Taran Pal,Manhattan,Kips Bay,40.74392,-73.9811,Private room,90,3,12,2016-03-08,0.16,3,0
26901,26911,22339259,Cozy affordable room close to Express station!,64018594,Daphne,Manhattan,Harlem,40.80966,-73.95299,Private room,90,1,1,2017-12-31,0.04,2,0
49831,49847,40303501,Home Away From Home!!!,311373758,Nicola,Manhattan,Upper East Side,40.77313,-73.94766,Entire home/apt,90,30,0,,,1,108
37205,37215,32016639,Forest Sanctuary in Bushwick,7964926,Matthew,Brooklyn,Bushwick,40.70118,-73.92175999999998,Entire home/apt,90,2,41,2019-11-25,4.14,1,90
40954,40964,35160490,"Closed to any kind of restaurant, mall",264798401,Kristina,Queens,Rego Park,40.73213,-73.85717,Private room,90,7,1,2019-06-22,0.18,1,365
2864,2864,1845817,Amazing Bed in HOMEY hippy haven in HARLEM,9642814,Mary Ann,Manhattan,Harlem,40.81514,-73.95127,Private room,90,5,12,2019-08-05,0.57,2,82
32314,32324,27954057,"Spanish Harlem, NYC Apartment near Central Park",203286339,Douglas,Manhattan,East Harlem,40.7887,-73.9414,Private room,90,1,64,2019-11-20,4.16,1,8
15006,15006,12926849,Comfy Room for May,28680349,,Brooklyn,Greenpoint,40.72577,-73.94981,Private room,90,1,7,2016-08-02,0.17,1,0
2894,2894,1869685,Cozy apartment available!,9745149,Idoline,Brooklyn,Bedford-Stuyvesant,40.68185,-73.95336,Entire home/apt,90,7,8,2019-05-10,0.29,2,327
1296,1296,616249,"Sunny, Quiet, 2 bedroom apartment",3054174,Diane,Brooklyn,Sunset Park,40.65626,-74.0002,Entire home/apt,90,2,5,2019-12-01,0.06,1,23
1295,1295,614269,Full Apt! L Train On The Corner!!,3047107,Bradley,Brooklyn,Williamsburg,40.70958,-73.93578000000002,Entire home/apt,90,30,15,2017-07-29,0.17,1,0
42283,42293,36113226,Room in Charming Williamsburg Townhouse,28752285,Mirro,Brooklyn,Williamsburg,40.71268,-73.95855,Private room,90,2,4,2019-09-09,0.83,1,186
2896,2896,1871261,Big room only 90. Great location.,9751988,Asuka,Manhattan,Chelsea,40.74599,-73.99775,Private room,90,6,4,2015-12-28,0.06,1,0
23586,23587,20309089,Home Sweet Home,101776118,Jim,Brooklyn,Bay Ridge,40.62493,-74.02837,Entire home/apt,90,1,122,2019-11-22,4.44,1,330
42286,42296,36113697,Contemporary bedroom in a cozy sunny home,101771985,Yudis,Manhattan,Harlem,40.80624,-73.9502,Private room,90,1,20,2019-11-30,3.75,4,162
49835,49851,40304242,Brooklyn huge studio with everything you need,241945355,Clement & Rose,Brooklyn,Flatlands,40.6316,-73.92619,Entire home/apt,90,1,0,,,4,171
3692,3692,2489920,Charming Studio!--Brooklyn College ,9543143,Angel,Brooklyn,Flatlands,40.62338,-73.94078,Entire home/apt,90,7,21,2015-12-29,0.31,1,0
17736,17736,15052056,Entire APT in Center of Park Slope Brooklyn,83171661,Yuichi,Brooklyn,South Slope,40.66752,-73.9849,Entire home/apt,90,6,2,2017-08-28,0.05,3,0
3701,3701,2501384,Private 1Bed/Bath in Sunny 3Bed Apt,3030031,Elizabeth,Brooklyn,Boerum Hill,40.68844,-73.98513,Private room,90,3,5,2016-09-12,0.07,1,0
40768,40778,35011803,"❤️A Private Studio On Roof, Private bath + Deck",228473476,Mia,Brooklyn,Bushwick,40.69469,-73.92475,Private room,90,5,34,2019-11-28,5.31,1,116
4568,4568,3512428,Lovely room in doorman building,17616305,Gabrielle,Manhattan,Harlem,40.82774000000001,-73.9508,Private room,90,2,142,2019-11-24,2.22,1,73
36622,36632,31360817,Cozy Space in Bay Ridge,767346,Celeste,Brooklyn,Fort Hamilton,40.61693,-74.03135999999998,Private room,90,2,6,2019-06-03,0.84,1,0
4573,4573,3517621,Amazing Renovated studio MurrayHill,1475015,Mike,Manhattan,Kips Bay,40.74318,-73.97858000000002,Entire home/apt,90,30,5,2019-09-30,0.08,52,341
22686,22687,19674485,Ditmas Park Victorian Dream Space!,105828086,Nikki,Brooklyn,Flatbush,40.64135,-73.96325,Private room,90,2,24,2019-04-23,0.87,4,33
41199,41209,35342886,BEST LOCATION! HELL'S KITCHEN! TIMES SQUARE!,226060825,Kenneth,Manhattan,Hell's Kitchen,40.76243,-73.98978000000002,Private room,90,1,10,2019-11-17,1.76,1,40
13963,13963,11786053,Upscale in The Heights,37055110,Teri,Manhattan,Washington Heights,40.84443,-73.94118,Private room,90,2,29,2017-08-11,0.67,1,160
739,739,282443,QT STUDIO FOR ROMANTIC COUPLES,36897,Lydia,Manhattan,Chinatown,40.71601,-73.99123,Entire home/apt,90,3,110,2019-10-12,1.14,1,9
47706,47716,39457564,Modern One Bedroom Near Public Transportation,303080635,Paulina,Brooklyn,Crown Heights,40.67343,-73.91794,Entire home/apt,90,7,1,2019-11-17,1.0,1,349
50141,50157,40404764,Private room with Manhattan skyline view,312446709,Melissa,Brooklyn,Brooklyn Heights,40.69288,-73.99915,Private room,90,3,0,,,1,350
4619,4619,3554013,Full-Sized Bedroom Available,17893521,Mimi,Queens,Maspeth,40.73647,-73.90035999999998,Private room,90,1,1,2015-09-22,0.02,2,362
32613,32623,28247510,Williamsburg escape in a perfect location!,3942655,Danny,Brooklyn,Williamsburg,40.7159,-73.94397,Private room,90,3,2,2019-11-13,0.27,2,67
21484,21484,18721341,Unique Brooklyn Studio,130186732,Trilla,Brooklyn,Crown Heights,40.67574000000001,-73.94722,Entire home/apt,90,3,86,2019-11-01,2.86,1,0
15902,15902,13494532,"*Cozy apt Manhattan,Near Central Park !*",77355562,Anna,Manhattan,Upper East Side,40.77081,-73.95215999999998,Private room,90,1,75,2019-11-17,1.78,1,347
16430,16430,13794590,Comfy Queen Bed in Harlem,81080113,Christopher,Manhattan,Harlem,40.81893,-73.94118,Private room,90,1,0,,,1,0
4656,4656,3593821,Bedroom in Williamsburg w/ Terrace,18105672,Eric,Brooklyn,Williamsburg,40.71659,-73.9458,Private room,90,30,1,2015-07-26,0.02,1,0
42817,42827,36549754,Bright and Spacious Studio APT 25 Min to Manhattan,274761756,Damion,Brooklyn,Bedford-Stuyvesant,40.6856,-73.93596,Entire home/apt,90,2,15,2019-11-17,3.28,1,148
26291,26301,22035507,Tudor City,20513673,Vera,Manhattan,Midtown,40.75417,-73.96556,Entire home/apt,90,26,7,2019-07-19,0.29,1,100
17943,17943,15261309,Private Room with a patio in Park Slope Brooklyn,17243984,Phines,Brooklyn,Sunset Park,40.66198,-73.98964000000002,Private room,90,2,0,,,1,0
24108,24115,20743194,Comfy room in Manhattan 4 blocks from central park,104116468,Elias,Manhattan,Harlem,40.80227,-73.9579,Private room,90,3,66,2019-11-18,2.45,1,95
725,725,276994,charming 2BR apartment off Broadway,1446764,William,Manhattan,Morningside Heights,40.80451,-73.9645,Entire home/apt,90,3,1,2019-11-05,1.0,1,26
36906,36916,31692860,2 bedroom apartment with a big outdoor terrace,169148493,Alan,Queens,Ditmars Steinway,40.77363,-73.91188000000002,Private room,90,4,0,,,1,0
42762,42772,36487245,Trendy duplex in the very heart of Hell's Kitchen,68119814,Christophe,Manhattan,Hell's Kitchen,40.76404,-73.98878,Private room,90,5,1,2019-08-24,0.29,1,0
17052,17052,14265052,HUGE master bedroom in TIME SQUARE,33518883,Melina,Manhattan,Hell's Kitchen,40.76086,-73.99146999999998,Private room,90,1,15,2017-08-31,0.37,2,0
26014,26024,21926279,The Tree House,6999831,Erik,Brooklyn,Flatbush,40.64813,-73.9589,Entire home/apt,90,2,8,2018-07-24,0.33,1,0
34640,34650,30041537,"""Home sweet Home""  Welcome friends",224315550,Leonardo,Brooklyn,Williamsburg,40.70956,-73.96552,Private room,90,2,70,2019-11-29,5.71,2,112
4366,4366,3286880,"Relaxing, Sun filled, Private Room in Manhattan",11438983,Sue,Manhattan,Harlem,40.82745,-73.94252,Private room,90,2,8,2019-11-17,0.12,1,16
21592,21593,18822775,2 Rooms+Private Bath in Large Colonial House,107169456,James,Brooklyn,Flatbush,40.64561,-73.96961999999998,Private room,90,1,49,2019-10-24,1.6,1,4
47853,47863,39513026,Modern Zen room in a PRIME Manhattan,297679711,Kate,Manhattan,Hell's Kitchen,40.76063,-73.99063000000002,Private room,90,2,5,2019-11-21,3.49,3,63
14110,14110,11971580,The Heart of west HARLEM-With a European flair,5388411,Timothy,Manhattan,Harlem,40.82776,-73.94700999999998,Entire home/apt,90,3,0,,,1,0
4386,4386,3309572,Private Room in Light-Filled Apt with Gym,341981,Amber,Brooklyn,Bedford-Stuyvesant,40.67822,-73.9389,Private room,90,3,52,2018-10-23,0.79,1,0
34650,34660,30047100,Big brownstone apartment in prime Williamsburg,22588056,Amy,Brooklyn,Williamsburg,40.71323,-73.96319,Entire home/apt,90,7,1,2019-01-02,0.09,1,0
4398,4398,3320635,Sunny airy beautiful Brooklyn 1B,7640229,Lihi,Brooklyn,Flatbush,40.65376,-73.95336,Entire home/apt,90,7,4,2016-05-18,0.07,1,0
33978,33988,29587811,1 Bedroom in Williamsburg,162504107,Lucile,Brooklyn,Williamsburg,40.71526,-73.94986999999998,Private room,90,2,2,2019-05-19,0.18,1,0
41991,42001,35903152,Cozy studio in the Heart of Bedstuy. Modern design,7074749,Clara,Brooklyn,Bedford-Stuyvesant,40.68506,-73.94776,Entire home/apt,90,7,1,2019-07-15,0.21,1,187
47841,47851,39509523,Elegant and beautiful apartment in Manhattan,303537032,Whitney,Manhattan,Washington Heights,40.85695,-73.93364,Entire home/apt,90,2,3,2019-11-30,2.65,1,139
26307,26317,22049875,"Bright large studio loft, 100% private, Bushwick",62649248,Benjamin,Brooklyn,Bushwick,40.70429,-73.91688,Entire home/apt,90,30,99,2019-11-09,4.11,1,32
47840,47850,39509281,Cozy Apartment in Harlem,39182379,Alvaro,Manhattan,Harlem,40.80726,-73.9435,Entire home/apt,90,3,3,2019-12-01,1.96,1,34
33256,33266,28916312,Cozy nook in Bronx 5 mins from Botanical Gardens!,99956350,Aubeen,Bronx,Fordham,40.86777,-73.88396999999998,Private room,90,1,14,2019-11-04,1.0,1,361
36630,36640,31377088,Private bedroom and private bathroom in midtown.,234986384,Eddie,Manhattan,Hell's Kitchen,40.76318,-73.9942,Private room,90,2,39,2019-11-21,4.15,1,62
33826,33836,29453203,Retreat to a Serene Hotel Quality Stay in the City,221850456,Kat,Manhattan,East Harlem,40.78819,-73.94234,Private room,90,2,17,2019-11-10,1.31,1,43
27257,27267,22602996,Private room near Central Park and Subway!,166289951,George,Manhattan,East Harlem,40.79303,-73.94662,Private room,90,2,0,,,1,0
16385,16385,13764984,Suburban Living in Brooklyn,80731010,Patricia,Brooklyn,Canarsie,40.6415,-73.88739,Entire home/apt,90,2,54,2018-07-22,1.29,1,1
4457,4457,3393999,Spacious 1 bd in Crown Heights,2443535,Avraham,Brooklyn,Crown Heights,40.67321,-73.93093,Entire home/apt,90,7,0,,,1,0
4406,4406,3328706,Central Park West. Queen Size Room,16805656,Fernando,Manhattan,Upper West Side,40.79893,-73.96249,Private room,90,1,166,2019-11-20,2.78,2,105
41194,41204,35340557,Sun-Drenched Apartment Steps to Prospect Park,154114474,Terri,Brooklyn,Prospect-Lefferts Gardens,40.6557,-73.95492,Entire home/apt,90,2,2,2019-10-28,0.36,1,0
31404,31414,27090376,Cozy Master bedroom/private bath.,154037433,Roland,Queens,Jamaica,40.67022,-73.77296,Private room,90,1,17,2019-09-03,1.07,3,87
26025,26035,21932460,Entire Charming Studio in Historical Brooklyn,160055033,Amy,Brooklyn,Cobble Hill,40.6894,-73.99546,Entire home/apt,90,3,33,2019-11-18,1.36,1,77
4881,4881,3780206,Perfect Brooklyn Studio Apartment,6739436,Madeline,Brooklyn,Bushwick,40.70716,-73.92171,Entire home/apt,90,1,40,2016-01-16,0.62,1,0
26252,26262,22018219,"Warmth in Woodside, New York",25376759,Theis,Queens,Woodside,40.75247,-73.90033000000003,Entire home/apt,90,3,1,2018-01-02,0.04,1,0
39189,39199,33846501,Packaged for one and groups (QUEEN B),242631139,Glen,Brooklyn,East Flatbush,40.64683,-73.93003,Private room,90,2,9,2019-11-01,1.18,4,365
21368,21368,18615964,1 BEDROOM apartment in Brooklyn,52816291,Laetitia,Brooklyn,Bedford-Stuyvesant,40.69121,-73.95121,Entire home/apt,90,3,6,2019-07-21,0.26,1,0
31287,31297,26958190,Brooklyn [Williamsburg] Apartment,202849060,Masashi,Brooklyn,Williamsburg,40.71258,-73.95764,Private room,90,3,11,2019-08-27,0.66,1,0
49630,49646,40228895,Comfort Palace - Close to Manhattan.,26738513,Malachi,Staten Island,Port Richmond,40.63647,-74.13978,Entire home/apt,90,2,1,2019-11-30,1.0,1,174
13724,13724,11526684,Cozy Loft in Flushing,21960625,Erjon,Queens,Flushing,40.75485,-73.82138,Entire home/apt,90,3,1,2016-03-25,0.02,1,0
4949,4949,3833538,Classic Brownstone 1 Bed. Apt.,2141246,Polly,Brooklyn,Bedford-Stuyvesant,40.68127,-73.94865,Entire home/apt,90,3,2,2016-09-11,0.05,1,0
4963,4963,3840000,4 ROOM RAILROAD - WILLIAMSBURG,19783353,Ryan,Brooklyn,Williamsburg,40.70955,-73.95085,Entire home/apt,90,5,20,2019-10-18,0.31,1,5
34784,34794,30131807,Thanksgiving getaway (or hiding spot from the fam),226414996,John,Queens,Ditmars Steinway,40.77269,-73.90626,Entire home/apt,90,3,1,2019-01-07,0.09,2,0
26514,26524,22159691,Beautiful Harlem Apartment,59493272,Neeka,Manhattan,Harlem,40.8135,-73.9512,Private room,90,2,19,2019-11-30,1.4,1,44
38460,38470,33226517,Spacious Room with Large Closet in East Harlem,39823351,Geli,Manhattan,East Harlem,40.79415,-73.94156,Private room,90,3,30,2019-12-01,3.83,1,14
4970,4970,3847733,"Sunny Apt in Bed Stuy, A/C/E Trains",12971995,Kate,Brooklyn,Bedford-Stuyvesant,40.68082,-73.93599,Private room,90,3,39,2015-05-23,0.61,1,0
42935,42945,36632478,Egill's live/work space in the heart of Bushwick.,274392436,Egill Kalevi,Brooklyn,Williamsburg,40.70834,-73.92889,Private room,90,3,4,2019-11-09,1.5,1,60
33789,33799,29411649,1bd shared bathroom - very welcome apt in Harlem,134167192,Mamy Francine,Manhattan,Harlem,40.81502,-73.94183000000002,Private room,90,2,3,2018-11-18,0.23,1,0
18030,18030,15359119,"Spacious, Sunny,  1 Bdrm Apt w/ King Bed",17796102,Gabriella,Manhattan,Inwood,40.86107,-73.92959,Entire home/apt,90,26,6,2019-10-20,0.36,1,188
5001,5001,3869398,private Greenpoint apt,2718526,Kory,Brooklyn,Greenpoint,40.73385,-73.95418000000002,Entire home/apt,90,1,46,2019-09-16,0.72,1,40
13653,13653,11440252,Cozy room in Adorable 2BR apt inUES special price,1721738,Amir,Manhattan,Upper East Side,40.77327,-73.94981999999997,Private room,90,20,25,2019-09-01,0.57,1,138
21334,21334,18593138,"Luxury Master Suite - Sunlit, Private floor + bath",278576,Marc,Brooklyn,Prospect-Lefferts Gardens,40.65746,-73.95221,Private room,90,3,57,2019-11-16,1.96,2,107
22738,22739,19710742,Sunny Room w/ Private Bath in Williamsburg!,2361069,Philip,Brooklyn,Williamsburg,40.71553,-73.96332,Private room,90,3,90,2019-11-17,3.27,1,118
42934,42944,36631456,Big and cozy room just 5 min from Manhattan,8113117,Kateryna,Brooklyn,Williamsburg,40.71551,-73.95494000000002,Private room,90,1,24,2019-11-30,4.97,2,47
31397,31407,27086130,"Heaven in New York, Suite",185908506,Cynthia,Bronx,Edenwald,40.8859,-73.83516999999998,Entire home/apt,90,3,5,2019-05-31,0.4,3,357
33798,33808,29416693,Amazing private room/heart of NYC/Columbus Circle,221591996,Sehwan,Manhattan,Upper West Side,40.76929000000001,-73.9848,Private room,90,14,1,2019-09-14,0.37,2,0
2165,2165,1129105,Quiet and Cozy Brooklyn Brownstone Apartment,131014,Serge,Brooklyn,Bedford-Stuyvesant,40.6831,-73.94434,Entire home/apt,90,2,6,2019-10-09,0.08,1,0
17021,17021,14231418,Spacious 1 bedroom off Prospect Pk,746006,Paul,Brooklyn,Prospect-Lefferts Gardens,40.66249000000001,-73.95841,Entire home/apt,90,2,3,2018-06-04,0.08,1,0
16488,16488,13844921,Top location 1BR 5mins to Manhattan,8785272,Dimitar,Queens,Long Island City,40.74466,-73.95274,Entire home/apt,90,7,0,,,1,0
27351,27361,22699657,Beautiful studio for 4 person in the heart of BK,55689124,Gio,Queens,Maspeth,40.71404,-73.91076,Private room,90,1,5,2019-11-09,3.13,1,337
41482,41492,35542389,"Apartment on corner of Prospect Park, Brooklyn",21119447,Colm,Brooklyn,Prospect-Lefferts Gardens,40.65609,-73.96047,Entire home/apt,90,5,1,2019-07-16,0.21,1,0
26668,26678,22229112,Cozy 1 Bedroom in Hamilton Heights,3094485,Kemy,Manhattan,Harlem,40.82417,-73.93996,Entire home/apt,90,2,7,2019-09-06,0.29,1,70
13842,13842,11638339,Sunny bedroom with amazing view in East Village,1547578,Luc,Manhattan,East Village,40.72868,-73.98635,Private room,90,15,1,2017-04-20,0.03,1,0
13836,13836,11632924,Spacious One Bedroom Apartment,4383413,Alanna,Brooklyn,East Flatbush,40.64583,-73.94693000000002,Entire home/apt,90,3,5,2017-01-02,0.12,1,0
27367,27377,22705115,Spacious apartment with all necessities nearby,47412299,Mohammed,Brooklyn,Canarsie,40.64178,-73.90179,Entire home/apt,90,5,34,2019-11-18,1.84,1,341
32622,32632,28253864,"Astoria, NY 1-bedroom apartment",14933692,Fernando,Queens,Astoria,40.76616,-73.91332,Entire home/apt,90,2,8,2019-01-18,0.54,1,0
13755,13755,11552402,Comfy NYC Studio 15 Min. To Midtown,60990988,Terrence,Manhattan,Harlem,40.81032,-73.95415,Entire home/apt,90,2,218,2019-11-22,4.77,1,55
42871,42881,36592294,1Bdr in Sunny South Williamsburg Loft,25703731,Aristotelis,Brooklyn,Williamsburg,40.70748,-73.95335,Private room,90,1,1,2019-08-18,0.27,1,147
31356,31366,27043685,5th Ave  NYC  2/3 train minutes to Times Square,202993649,Ronald,Manhattan,East Harlem,40.81379,-73.93536,Private room,90,1,9,2018-11-04,0.56,1,0
2169,2169,1130855,Brooklyn: Close-In With Character ,4623093,Matt,Brooklyn,Prospect Heights,40.67673,-73.96399,Private room,90,14,81,2019-11-03,1.05,1,335
47598,47608,39398182,Brownstone Beauty,302630821,Marilynn,Queens,Glendale,40.70152,-73.88909,Entire home/apt,90,30,0,,,1,102
27390,27400,22723461,Large comfortable Studio! Perfect for couple!,167677659,Eriko,Manhattan,Harlem,40.80399,-73.95402,Entire home/apt,90,4,6,2019-09-04,0.29,1,17
16504,16504,13859134,Near Manhattan & ForestHStadium studio w/ pvt bath,79751520,Julia,Queens,Forest Hills,40.71249,-73.84942,Private room,90,1,31,2018-09-24,0.78,2,0
21403,21403,18649105,Large 1 Bedroom in Astoria/Long Island City!,44838931,Andrea,Queens,Astoria,40.76843,-73.93257,Private room,90,3,19,2019-09-16,0.61,2,342
17008,17008,14217692,Perfect Area in Williamsburg - Room,6702100,Dasha,Brooklyn,Williamsburg,40.71014,-73.95871,Private room,90,1,10,2017-07-30,0.25,1,0
4836,4836,3741530,Large Light-Filled Brownstone 1-BR,19131844,Gemma,Brooklyn,Bedford-Stuyvesant,40.68237,-73.94811,Entire home/apt,90,8,17,2019-03-12,0.37,1,0
27392,27402,22729984,Madinina,116874533,Bertin,Manhattan,Harlem,40.81294000000001,-73.94609,Private room,90,2,47,2019-12-01,2.25,2,342
47624,47634,39417163,"1 bedroom and bathroom clean, quiet environment",212262327,Shaneice,Queens,Far Rockaway,40.59862,-73.76302,Private room,90,7,0,,,1,94
4343,4343,3265982,"Clean design, One BD, Renovated!",16516195,Tania,Brooklyn,Park Slope,40.67766,-73.98191,Entire home/apt,90,4,26,2019-08-28,0.4,1,0
24055,24062,20698477,Comfortable and pleasant fully furnished apartment,83786650,Bridge,Manhattan,Upper East Side,40.76128,-73.96236,Entire home/apt,90,30,5,2018-10-19,0.2,9,334
16370,16370,13757434,"PRIVATE LARGE STUDIO FOR YOU, PLUS!",46644337,Sha,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94100999999998,Entire home/apt,90,3,125,2019-11-18,3.0,3,291
953,953,419373,Stylish Loft,2085639,Eada,Brooklyn,Bedford-Stuyvesant,40.68838,-73.94193,Entire home/apt,90,2,220,2019-12-03,2.43,1,302
15939,15939,13514387,Spacious Private BR in Chelsea,35590013,Ryan,Manhattan,Chelsea,40.74675,-73.99555,Private room,90,2,6,2016-10-16,0.14,1,0
48244,48254,39686762,Studio style home away from home,58884080,Shaquala,Brooklyn,Bedford-Stuyvesant,40.6831,-73.91769000000002,Entire home/apt,90,1,5,2019-12-01,4.41,1,2
48236,48246,39677451,A Beautiful Studio in a Victorian House,22661810,Marie,Brooklyn,East Flatbush,40.63343,-73.94638,Entire home/apt,90,4,1,2019-11-05,0.94,1,348
23972,23979,20653090,"Spacious, private bedroom in Brooklyn",30549225,Spenser,Brooklyn,Bushwick,40.70188,-73.92062,Private room,90,4,17,2019-06-09,0.62,1,0
3876,3876,2702351,"Spacious, Safe, and Furnished",13829968,Jonathan,Manhattan,Harlem,40.82907,-73.94939000000002,Entire home/apt,90,5,19,2019-07-26,0.28,1,18
34505,34515,29960469,Quiet and Calm above subway.,7230698,Megan,Manhattan,Harlem,40.82687,-73.94364,Entire home/apt,90,4,4,2019-08-10,0.35,1,5
